tx_hash	time_millisec	interval	size	input count	output count	input/output ratio
4244aecf5f1d65742e072520ed8394f04b2b8c1bb0c37aca5669eaaa1a3021fa	1726609787902	0	307	1	1	1.0
a9c8a776f4a48524c0441d3ce105b1a78f9923483b6eb83158ad2ff43469990f	1726609787902	0	192	1	1	1.0
52b078e456bb2adb8fce38db959514ff5cb385a7ed4a625e04ee495dbea03a11	1726609787902	0	222	1	2	0.5
c42701b559e42ac244f15fbbe575373b30922fa8fef4985055dcb85f2b05bc4c	1726609787902	0	294	1	1	1.0
226b685c27869b8666536467975ed9bee737be8e8820e536d5e5d8db05f6422b	1726609787902	0	328	1	1	1.0
fb1af8909da05d289671dda0e3bf1a2004d5341fa8e04b399ed4b9ccde53797b	1726609788474	572	292	1	1	1.0
737c8171343f19b464a587541cfb9a27224fc42c74cdbf9ae6047fc628482324	1726609788474	0	437	1	2	0.5
28274490a6519de0dac0f0abf3fd1bd40cbf622685c0b5132321216608dd3b1a	1726609788474	0	295	1	1	1.0
18ca1d241f1aa7432bff665ee482d65f9a07928ca807de31cf8dfb3d47c1741a	1726609788474	0	223	1	2	0.5
3b42a51bde6ef821906cd447e57478e3ef2afa9e2bd7e8bfe092231c71cd4bf0	1726609788474	0	318	1	1	1.0
