consuming_tx_hash	consuming_time_millisec	producing_tx_hash	txo_idx
226b685c27869b8666536467975ed9bee737be8e8820e536d5e5d8db05f6422b	0	c46de286a7761082e4b87d8de690114f8c34464a9dfa985323a35c2128e04b5e	3
18ca1d241f1aa7432bff665ee482d65f9a07928ca807de31cf8dfb3d47c1741a	1	3ff2c8fe94aeff52e00b7cd79f59ddfd8c50c25850659e474fcd864e227d454a	2
18ca1d241f1aa7432bff665ee482d65f9a07928ca807de31cf8dfb3d47c1741a	1	146452fd9fdf56340aabe4888360b4c5a5204d5e68a328378b8b846f0d9eafbf	3
18ca1d241f1aa7432bff665ee482d65f9a07928ca807de31cf8dfb3d47c1741a	1	44ee634591f01f1180acaa9a47df212e96dea278419fedb4ad932b67657be489	4
18ca1d241f1aa7432bff665ee482d65f9a07928ca807de31cf8dfb3d47c1741a	1	f4cd5da93cdfe072189042677ab5a9e383ae0bd332cc54c86b1cc2e8b79fe7bf	4
c42701b559e42ac244f15fbbe575373b30922fa8fef4985055dcb85f2b05bc4c	184	664769ebaa46cf63ca3a312e2e118bae3c075a167e60778be14faff849098c39	2
28274490a6519de0dac0f0abf3fd1bd40cbf622685c0b5132321216608dd3b1a	185	a0419a92095566393a3b3ee066c12d757e370aae47055519605d19998fcfae6c	1
a9c8a776f4a48524c0441d3ce105b1a78f9923483b6eb83158ad2ff43469990f	185	e6a154b28d357b70f250102e4d7907b0124182467dde0c3868cf723459c1d2e1	3
52b078e456bb2adb8fce38db959514ff5cb385a7ed4a625e04ee495dbea03a11	185	226b685c27869b8666536467975ed9bee737be8e8820e536d5e5d8db05f6422b	0
52b078e456bb2adb8fce38db959514ff5cb385a7ed4a625e04ee495dbea03a11	185	4c88210546a6b1af5ee36244e251e3c386184770fa60d36e80ba391c52e9eeef	1
737c8171343f19b464a587541cfb9a27224fc42c74cdbf9ae6047fc628482324	185	bacd4f198af876c0481a491a4b918f21282c60059d10fd3b44ec85a2a10e6b61	4
fb1af8909da05d289671dda0e3bf1a2004d5341fa8e04b399ed4b9ccde53797b	185	e3b52ab95a6e35e61d46503a550488960e95a34c8f2916310faa5b0a5f67d551	3
3b42a51bde6ef821906cd447e57478e3ef2afa9e2bd7e8bfe092231c71cd4bf0	186	226b685c27869b8666536467975ed9bee737be8e8820e536d5e5d8db05f6422b	1
4244aecf5f1d65742e072520ed8394f04b2b8c1bb0c37aca5669eaaa1a3021fa	187	342da6aa130aea139ae4f06d05398c12270421b171a63ac09b3c32a4aa69799b	2
4244aecf5f1d65742e072520ed8394f04b2b8c1bb0c37aca5669eaaa1a3021fa	187	18ca1d241f1aa7432bff665ee482d65f9a07928ca807de31cf8dfb3d47c1741a	0
4244aecf5f1d65742e072520ed8394f04b2b8c1bb0c37aca5669eaaa1a3021fa	187	75b256168ced967af4fa0f9531e3814a147f9a4390f3ee4b6e9207f73fabb149	0
4244aecf5f1d65742e072520ed8394f04b2b8c1bb0c37aca5669eaaa1a3021fa	187	546d3df8adce0a7eaa006bb8dd846c0489239dcd26dfeec85a880500456a97c8	2
4244aecf5f1d65742e072520ed8394f04b2b8c1bb0c37aca5669eaaa1a3021fa	187	18ca1d241f1aa7432bff665ee482d65f9a07928ca807de31cf8dfb3d47c1741a	1
4244aecf5f1d65742e072520ed8394f04b2b8c1bb0c37aca5669eaaa1a3021fa	187	d16061c4cc058976c15a82de864ccf26ba3cc994ef1a550f5c186d522a56919b	4
4244aecf5f1d65742e072520ed8394f04b2b8c1bb0c37aca5669eaaa1a3021fa	187	18ca1d241f1aa7432bff665ee482d65f9a07928ca807de31cf8dfb3d47c1741a	2
4244aecf5f1d65742e072520ed8394f04b2b8c1bb0c37aca5669eaaa1a3021fa	187	5b01e359bc32324159cd69db5362827d3e3af146a79acb8ff2b5d45c61393667	2
4244aecf5f1d65742e072520ed8394f04b2b8c1bb0c37aca5669eaaa1a3021fa	187	d154ebecd9c3cbd11d8a7db199897bd8d84390493fd65683e12827575c2413cc	1
